Date,Close,chg,nextWeekChg,signal,predictChg,PredClose,Predict,d_0,d_1,d_2,d_3,d_4,sum
2017-02-02,187.3000030517578,-0.006366031555661511,1.0437800150274221,True,1.0062785,188.47596890458226,1,1,1.0,1.0,1.0,1.0,5.0
2017-02-03,186.39999389648438,-0.004805174269136181,1.050429235316894,True,1.0019965,186.7721446869109,1,1,1.0,1.0,1.0,1.0,5.0
2017-02-06,187.1999969482422,0.0042918620061869195,1.06143162493309,True,0.99790907,186.8085746828947,0,0,1.0,1.0,1.0,1.0,4.0
2017-02-07,186.6999969482422,-0.0026709402144822203,1.0594537026510655,True,0.9944184,185.6579090050327,0,0,0.0,1.0,1.0,1.0,3.0
2017-02-08,195.5,0.04713445739475497,1.0332480818414322,True,0.99210995,193.95749607682228,0,0,0.0,0.0,1.0,1.0,2.0
2017-02-09,195.5,0.0,1.03529408642703,True,0.990934,193.72759979963303,0,0,0.0,0.0,0.0,1.0,1.0
2017-02-10,195.8000030517578,0.0015345424642343453,1.0224718785899165,True,0.9901771,193.8766782103221,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-13,198.6999969482422,0.01481100026192439,1.0105687274069897,True,0.9900136,196.71569917865418,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-14,197.8000030517578,-0.004529410721223148,1.0060667185527201,True,0.9904843,195.91779702382064,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-15,202.0,0.02123355350577616,0.9900990099009901,False,0.9912335,200.22917258739471,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-16,202.39999389648438,0.0019801678043780413,0.9901185767771176,False,0.9928023,200.9431838951732,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-17,200.1999969482422,-0.010869550467315525,0.9890110040870234,False,0.9952538,199.24980799216064,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-20,200.8000030517578,0.002997033529779536,0.9731075245358362,False,0.9981472,200.4279587212286,0,0,0.0,0.0,0.0,0.0,0.0
2017-02-21,199.0,-0.008964158488054652,0.9683416932072472,False,1.0017956,199.35733425617218,1,1,0.0,0.0,0.0,0.0,1.0
2017-02-22,200.0,0.005025125628140614,0.9675000000000001,False,1.0055498,201.10995769500732,1,1,1.0,0.0,0.0,0.0,2.0
2017-02-23,200.39999389648438,0.0019999694824219816,0.9580838615153683,False,1.0083022,202.0637570828112,1,1,1.0,1.0,0.0,0.0,3.0
2017-02-24,198.0,-0.011976017812276418,0.9666666358408301,False,1.0100254,199.98502564430237,1,1,1.0,1.0,1.0,0.0,4.0
2017-02-27,195.39999389648438,-0.013131343957149655,0.9810644981380998,False,1.010836,197.5173492485519,1,1,1.0,1.0,1.0,1.0,5.0
2017-02-28,192.6999969482422,-0.013817794434899278,0.9974052931607762,False,1.0101314,194.6523098159596,1,1,1.0,1.0,1.0,1.0,5.0
2017-03-01,193.5,0.0041515467795918415,0.9912144860555959,False,1.0085027,195.14527666568756,1,1,1.0,1.0,1.0,1.0,5.0
2017-03-02,192.0,-0.007751937984496138,0.9916666348775228,False,1.0070015,193.34429168701172,1,1,1.0,1.0,1.0,1.0,5.0
2017-03-03,191.39999389648438,-0.003125031789143917,0.9932080050448079,False,1.0055345,192.45930284459973,1,1,1.0,1.0,1.0,1.0,5.0
2017-03-06,191.6999969482422,0.0015674141135033626,1.0005216802561694,True,1.0043032,192.52492362139674,1,1,1.0,1.0,1.0,1.0,5.0
2017-03-07,192.1999969482422,0.00260824208638355,0.9989594331351834,False,1.0034472,192.8625439777079,1,1,1.0,1.0,1.0,1.0,5.0
2017-03-08,191.8000030517578,-0.0020811337296331445,1.0151198845169038,True,1.0031337,192.401038012531,1,1,1.0,1.0,1.0,1.0,5.0
2017-03-09,190.39999389648438,-0.007299317690290352,1.0367647070608927,True,1.0028085,190.93472307398406,1,1,1.0,1.0,1.0,1.0,5.0
2017-03-10,190.10000610351562,-0.0015755661900485052,1.033666458132565,True,1.0023444,190.54567083359143,1,1,1.0,1.0,1.0,1.0,5.0
2017-03-13,191.8000030517578,0.008942645416415651,1.0448383248586592,True,1.001919,192.16807323087778,1,1,1.0,1.0,1.0,1.0,5.0
2017-03-14,192.0,0.0010427369398331443,1.0401041507720947,True,1.00098,192.18816375732422,1,1,1.0,1.0,1.0,1.0,5.0
2017-03-15,194.6999969482422,0.014062484105427986,1.0087313660754402,True,0.9999775,194.69562185413542,0,0,1.0,1.0,1.0,1.0,4.0
2017-03-16,197.39999389648438,0.013867472986966334,0.9949341437136802,False,0.99949855,197.30100690432482,0,0,0.0,1.0,1.0,1.0,3.0
2017-03-17,196.5,-0.004559239738154863,0.9994910630864344,False,0.998858,196.27559208869934,0,0,0.0,0.0,1.0,1.0,2.0
2017-03-20,200.39999389648438,0.0198472971831265,0.9730539218515459,False,0.99779385,199.9578821078485,0,0,0.0,0.0,0.0,1.0,1.0
